"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Motive Power Technician","https://www.algonquincollege.com/sat/program/motive-power-technician/","MAT8520","Mathematics and Related Science I","The automotive trade has a long and rich history based on many scientific principles from thermodynamics and the creation of the combustion ... + Read More"
"2","Algonquin College","Motive Power Technician","https://www.algonquincollege.com/sat/program/motive-power-technician/","MGT8100","Career and College Success Skills","To succeed at college, in the workforce, and in the community, we must adapt to changing environments, manage our time effectively, study ef... + Read More"
"3","Algonquin College","Motive Power Technician","https://www.algonquincollege.com/sat/program/motive-power-technician/","MVM8402","Chassis and Drivelines I","Students are introduced to the driveline and suspension, steering and braking systems of motor vehicles. Students perform minor service oper... + Read More"
"4","Algonquin College","Motive Power Technician","https://www.algonquincollege.com/sat/program/motive-power-technician/","MVM8403","Fuel and Electrical Systems I","Students learn the principles of electricity, electronics and fuel systems as used in modern automobiles. Students study DC circuitry, fuel ... + Read More"
"5","Algonquin College","Motive Power Technician","https://www.algonquincollege.com/sat/program/motive-power-technician/","MVM8409","Applied Workplace Practices","Students study Workplace Hazardous Materials Information System (WHMIS) and safe work practices. Information on procedures related to fasten... + Read More"
"6","Algonquin College","Motive Power Technician","https://www.algonquincollege.com/sat/program/motive-power-technician/","MVM8463","Internal Combustion Engines I","The construction and operating principles of the internal combustion engine are introduced. Students study 4-stroke and 2-stroke cycles as a... + Read More"
"7","Algonquin College","Motive Power Technician","https://www.algonquincollege.com/sat/program/motive-power-technician/","WEL9107","Introduction to Fuel Gas and Electrical Welding","Welding is a skill essential to a variety of professions. Students develop competent welding skills at a basic level using oxyacetylene equi... + Read More"
"8","Algonquin College","Motive Power Technician","https://www.algonquincollege.com/sat/program/motive-power-technician/","ENL1813T","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"9","Algonquin College","Motive Power Technician","https://www.algonquincollege.com/sat/program/motive-power-technician/","MAT8521","Mathematics and Related Science II","The automotive trade has a long and rich history based on many scientific principles from thermodynamics and the creation of the combustion ... + Read More"
"10","Algonquin College","Motive Power Technician","https://www.algonquincollege.com/sat/program/motive-power-technician/","MVM8404","Chassis and Drivelines II","Students study automotive brake, steering and suspension systems servicing procedures. Course includes fault-finding and an introduction to ... + Read More"
"11","Algonquin College","Motive Power Technician","https://www.algonquincollege.com/sat/program/motive-power-technician/","MVM8435","Fuel and Electrical Systems II","Students enhance their skills in electrical and electronics diagnosis and repair and are introduced to internal combustion engine fuels used... + Read More"
"12","Algonquin College","Motive Power Technician","https://www.algonquincollege.com/sat/program/motive-power-technician/","MVM8436","Internal Combustion Engines II","Students gain practical skills and theoretical knowledge to conduct inspections and perform service to cylinder blocks, rotating shafts and ... + Read More"
"13","Algonquin College","Motive Power Technician","https://www.algonquincollege.com/sat/program/motive-power-technician/","GED0557","General Education Elective","Students choose one course, from a group of general education electives, which meets one of the following five theme requirements: Arts in S... + Read More"
"14","Algonquin College","Motive Power Technician","https://www.algonquincollege.com/sat/program/motive-power-technician/","ENL2003","Communications II for Technicians","Communicating effectively in the workplace is a key component of career advancement and essential skills development. The ability to read, u... + Read More"
"15","Algonquin College","Motive Power Technician","https://www.algonquincollege.com/sat/program/motive-power-technician/","MKT2230","Introduction to Marketing","Students gain basic marketing skills and concepts. While an overview of the entire marketing process is provided, emphasis is on the consume... + Read More"
"16","Algonquin College","Motive Power Technician","https://www.algonquincollege.com/sat/program/motive-power-technician/","MVM8405","Chassis and Drivelines III","Students diagnose faults with the brake, suspension and air-conditioning systems. They also expand their knowledge of automatic transmission... + Read More"
"17","Algonquin College","Motive Power Technician","https://www.algonquincollege.com/sat/program/motive-power-technician/","MVM8406","Fuel and Electrical Systems III","Students expand their knowledge base and improve their diagnostic skills in computerized engine management and selected chassis electrical/e... + Read More"
"18","Algonquin College","Motive Power Technician","https://www.algonquincollege.com/sat/program/motive-power-technician/","MVM8407","Internal Combustion Engines III","Students gain the practical skills and theoretical knowledge to conduct performance testing and carry out repairs to valve trains of interna... + Read More"
"19","Algonquin College","Motive Power Technician","https://www.algonquincollege.com/sat/program/motive-power-technician/","MVM8810","Automotive Technology - Driving Change in Manufacturing","Developments in automotive technology and manufacturing processes have driven changes across the economy. From the assembly line to global p... + Read More"
