"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Aircraft Maintenance Technician","https://www.algonquincollege.com/sat/program/aircraft-maintenance-technician/","AIR1090","Safety and Human Factors","Possessing the ability to identify and action potential safety issues is paramount in the aviation industry to ensure safety for all. Divide... + Read More"
"2","Algonquin College","Aircraft Maintenance Technician","https://www.algonquincollege.com/sat/program/aircraft-maintenance-technician/","AIR1100","Piston Engines and Propellers I","Light aircraft utilize a variety of engines and propellers. Students explore the history and development of piston engines and propellers an... + Read More"
"3","Algonquin College","Aircraft Maintenance Technician","https://www.algonquincollege.com/sat/program/aircraft-maintenance-technician/","AIR1110","Sheet Metal and Aircraft Structures","Knowledge of materials and structures used in aircraft manufacturing is key to maintaining modern aircraft. Students examine the characteris... + Read More"
"4","Algonquin College","Aircraft Maintenance Technician","https://www.algonquincollege.com/sat/program/aircraft-maintenance-technician/","AIR1120","Tools, Materials, and Processes I","Proper use and safety of tools in the aircraft industry are paramount. Students develop a solid background in the tools and equipment requir... + Read More"
"5","Algonquin College","Aircraft Maintenance Technician","https://www.algonquincollege.com/sat/program/aircraft-maintenance-technician/","AIR1130","Theory of Flight","Knowledge of the principles of flight is essential to safety. Students review the physics involved in flight. Through lectures and in-class ... + Read More"
"6","Algonquin College","Aircraft Maintenance Technician","https://www.algonquincollege.com/sat/program/aircraft-maintenance-technician/","AIR1140","Aircraft Publications","Documentation and publications are an essential part of the regulatory environment of the aviation industry. Students interpret the requirem... + Read More"
"7","Algonquin College","Aircraft Maintenance Technician","https://www.algonquincollege.com/sat/program/aircraft-maintenance-technician/","AIR1150","Aircraft Applied Mathematics","Much of the daily work of an aircraft maintenance engineer relies on the successful application of mathematical principles. Through lectures... + Read More"
"8","Algonquin College","Aircraft Maintenance Technician","https://www.algonquincollege.com/sat/program/aircraft-maintenance-technician/","AIR1160","Electrical Fundamentals","Possessing a fundamental working knowledge of electricity is a required skill in aircraft maintenance. Students develop a working knowledge ... + Read More"
"9","Algonquin College","Aircraft Maintenance Technician","https://www.algonquincollege.com/sat/program/aircraft-maintenance-technician/","AIR1170","Avionics I","Knowledge of avionics systems is foundational to maintaining and troubleshooting aircraft. Students explore the array of avionics systems us... + Read More"
"10","Algonquin College","Aircraft Maintenance Technician","https://www.algonquincollege.com/sat/program/aircraft-maintenance-technician/","ENL1813T","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"11","Algonquin College","Aircraft Maintenance Technician","https://www.algonquincollege.com/sat/program/aircraft-maintenance-technician/","AIR1350","Turbine Engines I","Large aircraft utilize a variety of turbine engine propulsion systems. Students study the history and development, as well as the types and ... + Read More"
